benchmark,M,blockSize,k,cxpb,gen,NGEN,seed
LOTZ,2,30,0,0.0,942542,10000000,4
LOTZ,2,30,0,0.0,983714,10000000,0
OMM,2,5,0,0.0,1252,10000000,1
LOTZ,2,5,0,0.0,1516,10000000,1
LOTZ,2,30,0,0.0,910508,10000000,7
LOTZ,2,30,0,0.0,719319,10000000,1
LOTZ,2,5,0,0.0,1145,100000,9
LOTZ,2,5,0,0.0,683,100000,8
OJZJ,2,5,2,0.0,2822,100000,8
OJZJ,2,5,2,0.0,1230,100000,9
LOTZ,2,15,0,0.0,54013,10000000,10
LOTZ,2,15,0,0.0,50720,10000000,12
LOTZ,2,15,0,0.0,78210,10000000,13
LOTZ,2,15,0,0.0,67836,10000000,14
LOTZ,2,15,0,0.0,68366,10000000,17
LOTZ,2,15,0,0.0,83626,10000000,22
LOTZ,2,15,0,0.0,97717,10000000,28
LOTZ,2,20,0,0.0,207588,10000000,11
LOTZ,2,20,0,0.0,134349,10000000,12
LOTZ,2,20,0,0.0,115644,10000000,17
LOTZ,2,20,0,0.0,147946,10000000,19
LOTZ,2,25,0,0.0,283144,10000000,7
LOTZ,2,30,0,0.0,645619,10000000,14
LOTZ,2,30,0,0.0,678150,10000000,17
LOTZ,2,5,0,0.0,1504,10000000,10
LOTZ,2,5,0,0.0,1329,10000000,13
LOTZ,2,5,0,0.0,796,10000000,20
LOTZ,2,5,0,0.0,1388,10000000,24
OJZJ,2,10,2,0.0,87821,10000000,10
OJZJ,2,10,2,0.0,38132,10000000,12
OJZJ,2,10,2,0.0,78877,10000000,15
OJZJ,2,10,2,0.0,46065,10000000,22
OJZJ,2,15,2,0.0,337166,10000000,10
OJZJ,2,15,2,0.0,588617,10000000,12
OJZJ,2,15,2,0.0,1164130,10000000,13
OJZJ,2,15,2,0.0,345824,10000000,17
OJZJ,2,20,2,0.0,1391158,10000000,11
OJZJ,2,20,2,0.0,567723,10000000,15
OJZJ,2,20,2,0.0,1530232,10000000,19
OJZJ,2,5,2,0.0,3833,10000000,22
OMM,2,10,0,0.0,10318,10000000,15
OMM,2,25,0,0.0,128709,10000000,10
OMM,2,25,0,0.0,218079,10000000,11
OMM,2,25,0,0.0,263850,10000000,15
OMM,2,30,0,0.0,301703,10000000,14
OMM,2,25,0,0.0,205919,10000000,0
OMM,2,25,0,0.0,203542,10000000,1
OMM,2,25,0,0.0,177598,10000000,2
OMM,2,25,0,0.0,164481,10000000,3
OMM,2,25,0,0.0,137016,10000000,4
OMM,2,25,0,0.0,312894,10000000,5
OMM,2,25,0,0.0,108444,10000000,6
OMM,2,25,0,0.0,141400,10000000,8
OMM,2,25,0,0.0,140343,10000000,9
OMM,2,10,0,0.0,11318,10000000,10
OMM,2,20,0,0.0,93078,10000000,10
OMM,2,30,0,0.0,234869,10000000,10
OJZJ,2,5,2,0.0,4509,10000000,10
OJZJ,2,20,2,0.0,1029614,10000000,10
OMM,2,5,0,0.0,641,10000000,11
OMM,2,10,0,0.0,15373,10000000,11
OMM,2,15,0,0.0,42528,10000000,11
OMM,2,20,0,0.0,160172,10000000,11
OMM,2,30,0,0.0,246355,10000000,11
OJZJ,2,5,2,0.0,6872,10000000,11
OJZJ,2,10,2,0.0,73626,10000000,11
OJZJ,2,15,2,0.0,358086,10000000,11
OMM,2,5,0,0.0,663,10000000,12
OMM,2,10,0,0.0,10314,10000000,12
OMM,2,25,0,0.0,151667,10000000,12
OMM,2,30,0,0.0,247500,10000000,12
OJZJ,2,5,2,0.0,4510,10000000,12
OJZJ,2,20,2,0.0,916058,10000000,12
OMM,2,10,0,0.0,16907,10000000,13
OMM,2,25,0,0.0,116767,10000000,13
OMM,2,30,0,0.0,398845,10000000,13
OJZJ,2,5,2,0.0,5166,10000000,13
OJZJ,2,10,2,0.0,51147,10000000,13
OJZJ,2,20,2,0.0,1436786,10000000,13
OMM,2,5,0,0.0,1047,10000000,14
OMM,2,10,0,0.0,4234,10000000,14
OMM,2,20,0,0.0,68128,10000000,14
OMM,2,25,0,0.0,147348,10000000,14
OJZJ,2,5,2,0.0,1201,10000000,14
OJZJ,2,10,2,0.0,12438,10000000,14
OJZJ,2,15,2,0.0,428356,10000000,14
OMM,2,5,0,0.0,909,10000000,15
LOTZ,2,10,0,0.0,17422,10000000,10
LOTZ,2,10,0,0.0,14637,10000000,12
LOTZ,2,10,0,0.0,11711,10000000,15
LOTZ,2,10,0,0.0,24537,10000000,17
LOTZ,2,10,0,0.0,15987,10000000,19
LOTZ,2,20,0,0.0,169959,10000000,10
LOTZ,2,25,0,0.0,343104,10000000,0
LOTZ,2,25,0,0.0,371672,10000000,1
LOTZ,2,25,0,0.0,453387,10000000,10
LOTZ,2,25,0,0.0,456669,10000000,15
LOTZ,2,25,0,0.0,503382,10000000,2
LOTZ,2,25,0,0.0,476291,10000000,23
LOTZ,2,25,0,0.0,433740,10000000,3
LOTZ,2,25,0,0.0,362515,10000000,4
LOTZ,2,25,0,0.0,351472,10000000,5
LOTZ,2,25,0,0.0,432794,10000000,6
LOTZ,2,25,0,0.0,538494,10000000,8
LOTZ,2,25,0,0.0,330291,10000000,9
LOTZ,2,30,0,0.0,690190,10000000,10
OJZJ,2,5,2,0.0,5503,10000000,18
OJZJ,2,5,2,0.0,3136,10000000,24
OMM,2,10,0,0.0,6189,10000000,20
OMM,2,15,0,0.0,23049,10000000,10
OMM,2,15,0,0.0,35003,10000000,12
OMM,2,15,0,0.0,60224,10000000,13
OMM,2,15,0,0.0,27536,10000000,14
OMM,2,15,0,0.0,37046,10000000,17
OMM,2,20,0,0.0,83604,10000000,12
OMM,2,20,0,0.0,85311,10000000,13
OMM,2,25,0,0.0,128382,10000000,7
OMM,2,5,0,0.0,671,10000000,10
OMM,2,5,0,0.0,616,10000000,13
OMM,2,5,0,0.0,935,10000000,26
LOTZ,2,5,0,0.0,1507,10000000,12
LOTZ,2,5,0,0.0,1324,10000000,14
LOTZ,2,10,0,0.0,13084,10000000,11
LOTZ,2,10,0,0.0,9990,10000000,13
LOTZ,2,10,0,0.0,27375,10000000,14
LOTZ,2,15,0,0.0,70448,10000000,11
LOTZ,2,20,0,0.0,163209,10000000,13
LOTZ,2,20,0,0.0,187560,10000000,14
LOTZ,2,25,0,0.0,381282,10000000,11
LOTZ,2,5,0,0.0,1564,10000000,11
LOTZ,2,25,0,0.0,532530,10000000,12
OJZJ,2,20,2,0.0,1087162,10000000,14
LOTZ,2,25,0,0.0,435168,10000000,13
LOTZ,2,25,0,0.0,279078,10000000,14
LOTZ,2,30,0,0.0,749681,10000000,11
LOTZ,2,30,0,0.0,917099,10000000,12
LOTZ,2,30,0,0.0,682424,10000000,13
OJZJ,2,10,2,0.0,145150,10000000,16
OJZJ,2,10,2,0.0,50053,10000000,17
OJZJ,2,10,2,0.0,55518,10000000,18
OJZJ,2,10,2,0.0,65046,10000000,19
OJZJ,2,10,2,0.0,74574,10000000,20
OJZJ,2,10,2,0.0,108398,10000000,21
OJZJ,2,10,2,0.0,38505,10000000,23
OJZJ,2,10,2,0.0,59459,10000000,24
OJZJ,2,10,2,0.0,59695,10000000,25
OJZJ,2,10,2,0.0,48914,10000000,26
OJZJ,2,10,2,0.0,75740,10000000,27
OJZJ,2,10,2,0.0,89292,10000000,28
OJZJ,2,10,2,0.0,96041,10000000,29
OJZJ,2,15,2,0.0,191199,10000000,15
OJZJ,2,15,2,0.0,532577,10000000,16
OJZJ,2,15,2,0.0,592092,10000000,18
OJZJ,2,15,2,0.0,426021,10000000,19
OJZJ,2,15,2,0.0,852780,10000000,20
OJZJ,2,15,2,0.0,111571,10000000,21
OJZJ,2,15,2,0.0,1321296,10000000,22
OJZJ,2,15,2,0.0,322699,10000000,23
OJZJ,2,15,2,0.0,376701,10000000,24
OJZJ,2,15,2,0.0,224983,10000000,25
OJZJ,2,15,2,0.0,1093098,10000000,26
OJZJ,2,15,2,0.0,1092179,10000000,27
OJZJ,2,15,2,0.0,326135,10000000,28
OJZJ,2,15,2,0.0,378469,10000000,29
OJZJ,2,20,2,0.0,1866808,10000000,16
OJZJ,2,20,2,0.0,1828467,10000000,17
OJZJ,2,20,2,0.0,1216926,10000000,18
OJZJ,2,20,2,0.0,2356238,10000000,20
OJZJ,2,20,2,0.0,3628412,10000000,21
OJZJ,2,20,2,0.0,1342463,10000000,22
OJZJ,2,20,2,0.0,1749326,10000000,23
OJZJ,2,20,2,0.0,1793733,10000000,24
OJZJ,2,20,2,0.0,2053005,10000000,25
OJZJ,2,20,2,0.0,777668,10000000,26
OJZJ,2,20,2,0.0,1297442,10000000,27
OJZJ,2,20,2,0.0,3079145,10000000,28
OJZJ,2,20,2,0.0,2233424,10000000,29
OJZJ,2,5,2,0.0,2353,10000000,15
OJZJ,2,5,2,0.0,2008,10000000,16
OJZJ,2,5,2,0.0,4370,10000000,17
OJZJ,2,5,2,0.0,1727,10000000,19
OJZJ,2,5,2,0.0,1097,10000000,20
OJZJ,2,5,2,0.0,3529,10000000,21
OJZJ,2,5,2,0.0,3202,10000000,23
OJZJ,2,5,2,0.0,4636,10000000,25
OJZJ,2,5,2,0.0,4723,10000000,26
OJZJ,2,5,2,0.0,2077,10000000,27
OJZJ,2,5,2,0.0,2203,10000000,28
OJZJ,2,5,2,0.0,2257,10000000,29
OMM,2,10,0,0.0,6291,10000000,16
OMM,2,10,0,0.0,10654,10000000,17
OMM,2,10,0,0.0,9582,10000000,18
OMM,2,10,0,0.0,6297,10000000,19
OMM,2,10,0,0.0,9304,10000000,21
OMM,2,10,0,0.0,8576,10000000,22
OMM,2,10,0,0.0,8893,10000000,23
OMM,2,10,0,0.0,10311,10000000,24
OMM,2,10,0,0.0,7550,10000000,25
OMM,2,10,0,0.0,7338,10000000,26
OMM,2,10,0,0.0,4181,10000000,27
OMM,2,10,0,0.0,17038,10000000,28
OMM,2,10,0,0.0,13818,10000000,29
OMM,2,15,0,0.0,23251,10000000,15
OMM,2,15,0,0.0,22332,10000000,16
OMM,2,15,0,0.0,33822,10000000,18
OMM,2,15,0,0.0,19945,10000000,19
OMM,2,15,0,0.0,34462,10000000,20
OMM,2,15,0,0.0,27657,10000000,21
OMM,2,15,0,0.0,27290,10000000,22
OMM,2,15,0,0.0,39991,10000000,23
OMM,2,15,0,0.0,33492,10000000,24
OMM,2,15,0,0.0,24489,10000000,25
OMM,2,15,0,0.0,37156,10000000,26
OMM,2,15,0,0.0,28024,10000000,27
OMM,2,15,0,0.0,26974,10000000,28
OMM,2,15,0,0.0,29645,10000000,29
OMM,2,20,0,0.0,94157,10000000,15
OMM,2,20,0,0.0,71000,10000000,16
OMM,2,20,0,0.0,94734,10000000,17
OMM,2,20,0,0.0,70932,10000000,18
OMM,2,20,0,0.0,68365,10000000,19
OMM,2,20,0,0.0,49175,10000000,20
OMM,2,20,0,0.0,71265,10000000,21
OMM,2,20,0,0.0,101171,10000000,22
OMM,2,20,0,0.0,89545,10000000,23
OMM,2,20,0,0.0,67058,10000000,24
OMM,2,20,0,0.0,93623,10000000,25
OMM,2,20,0,0.0,62594,10000000,26
OMM,2,20,0,0.0,89214,10000000,27
OMM,2,20,0,0.0,100187,10000000,28
OMM,2,20,0,0.0,113668,10000000,29
OMM,2,25,0,0.0,214063,10000000,16
OMM,2,25,0,0.0,161169,10000000,17
OMM,2,25,0,0.0,177643,10000000,18
OMM,2,25,0,0.0,182903,10000000,19
OMM,2,25,0,0.0,156173,10000000,20
OMM,2,25,0,0.0,144908,10000000,21
OMM,2,25,0,0.0,165635,10000000,22
OMM,2,25,0,0.0,173498,10000000,23
OMM,2,25,0,0.0,288147,10000000,24
OMM,2,25,0,0.0,201229,10000000,25
OMM,2,25,0,0.0,132833,10000000,26
OMM,2,25,0,0.0,200358,10000000,27
OMM,2,25,0,0.0,185313,10000000,28
OMM,2,25,0,0.0,142262,10000000,29
OMM,2,30,0,0.0,432748,10000000,15
OMM,2,30,0,0.0,262482,10000000,16
OMM,2,30,0,0.0,337329,10000000,17
OMM,2,30,0,0.0,409278,10000000,18
OMM,2,30,0,0.0,404852,10000000,19
OMM,2,30,0,0.0,375083,10000000,20
OMM,2,30,0,0.0,451680,10000000,21
OMM,2,30,0,0.0,324105,10000000,22
OMM,2,30,0,0.0,336378,10000000,23
OMM,2,30,0,0.0,241946,10000000,24
OMM,2,30,0,0.0,433059,10000000,25
OMM,2,30,0,0.0,331732,10000000,26
OMM,2,30,0,0.0,245132,10000000,27
OMM,2,30,0,0.0,561345,10000000,28
OMM,2,30,0,0.0,293775,10000000,29
OMM,2,5,0,0.0,696,10000000,16
OMM,2,5,0,0.0,816,10000000,17
OMM,2,5,0,0.0,1740,10000000,18
OMM,2,5,0,0.0,999,10000000,19
OMM,2,5,0,0.0,974,10000000,20
OMM,2,5,0,0.0,818,10000000,21
OMM,2,5,0,0.0,608,10000000,22
OMM,2,5,0,0.0,629,10000000,23
OMM,2,5,0,0.0,648,10000000,24
OMM,2,5,0,0.0,629,10000000,25
OMM,2,5,0,0.0,613,10000000,27
OMM,2,5,0,0.0,1444,10000000,28
OMM,2,5,0,0.0,500,10000000,29
LOTZ,2,10,0,0.0,13325,10000000,16
LOTZ,2,10,0,0.0,12074,10000000,18
LOTZ,2,10,0,0.0,15775,10000000,20
LOTZ,2,10,0,0.0,11826,10000000,21
LOTZ,2,10,0,0.0,9976,10000000,22
LOTZ,2,10,0,0.0,10214,10000000,23
LOTZ,2,10,0,0.0,13210,10000000,24
LOTZ,2,10,0,0.0,14031,10000000,25
LOTZ,2,10,0,0.0,13521,10000000,26
LOTZ,2,10,0,0.0,20728,10000000,27
LOTZ,2,10,0,0.0,14358,10000000,28
LOTZ,2,10,0,0.0,20408,10000000,29
LOTZ,2,15,0,0.0,55686,10000000,15
LOTZ,2,15,0,0.0,66661,10000000,16
LOTZ,2,15,0,0.0,53285,10000000,18
LOTZ,2,15,0,0.0,64425,10000000,19
LOTZ,2,15,0,0.0,65149,10000000,20
LOTZ,2,15,0,0.0,106311,10000000,21
LOTZ,2,15,0,0.0,62142,10000000,23
LOTZ,2,15,0,0.0,64006,10000000,24
LOTZ,2,15,0,0.0,73333,10000000,25
LOTZ,2,15,0,0.0,77854,10000000,26
LOTZ,2,15,0,0.0,51461,10000000,27
LOTZ,2,15,0,0.0,49873,10000000,29
LOTZ,2,20,0,0.0,207420,10000000,15
LOTZ,2,20,0,0.0,151975,10000000,16
LOTZ,2,20,0,0.0,206744,10000000,18
LOTZ,2,20,0,0.0,148318,10000000,20
LOTZ,2,20,0,0.0,226205,10000000,21
LOTZ,2,20,0,0.0,226972,10000000,22
LOTZ,2,20,0,0.0,182303,10000000,23
LOTZ,2,20,0,0.0,198025,10000000,24
LOTZ,2,20,0,0.0,143361,10000000,25
LOTZ,2,20,0,0.0,151137,10000000,26
LOTZ,2,20,0,0.0,175625,10000000,27
LOTZ,2,20,0,0.0,160818,10000000,28
LOTZ,2,20,0,0.0,194848,10000000,29
LOTZ,2,25,0,0.0,329172,10000000,16
LOTZ,2,25,0,0.0,434968,10000000,17
LOTZ,2,25,0,0.0,484030,10000000,18
LOTZ,2,25,0,0.0,375693,10000000,19
LOTZ,2,25,0,0.0,362365,10000000,20
LOTZ,2,25,0,0.0,364411,10000000,21
LOTZ,2,25,0,0.0,413021,10000000,22
LOTZ,2,25,0,0.0,394883,10000000,24
LOTZ,2,25,0,0.0,473032,10000000,25
LOTZ,2,25,0,0.0,390364,10000000,26
LOTZ,2,25,0,0.0,350301,10000000,27
LOTZ,2,25,0,0.0,348001,10000000,28
LOTZ,2,25,0,0.0,404385,10000000,29
LOTZ,2,30,0,0.0,700995,10000000,15
LOTZ,2,30,0,0.0,816259,10000000,16
LOTZ,2,30,0,0.0,790202,10000000,18
LOTZ,2,30,0,0.0,611001,10000000,19
LOTZ,2,30,0,0.0,756043,10000000,20
LOTZ,2,30,0,0.0,692746,10000000,21
LOTZ,2,30,0,0.0,587087,10000000,22
LOTZ,2,30,0,0.0,702018,10000000,23
LOTZ,2,30,0,0.0,641688,10000000,24
LOTZ,2,30,0,0.0,789116,10000000,25
LOTZ,2,30,0,0.0,709274,10000000,26
LOTZ,2,30,0,0.0,600607,10000000,27
LOTZ,2,30,0,0.0,669816,10000000,28
LOTZ,2,30,0,0.0,873800,10000000,29
LOTZ,2,5,0,0.0,1139,10000000,15
LOTZ,2,5,0,0.0,1603,10000000,16
LOTZ,2,5,0,0.0,1417,10000000,17
LOTZ,2,5,0,0.0,1435,10000000,18
LOTZ,2,5,0,0.0,950,10000000,19
LOTZ,2,5,0,0.0,1259,10000000,21
LOTZ,2,5,0,0.0,1356,10000000,22
LOTZ,2,5,0,0.0,1449,10000000,23
LOTZ,2,5,0,0.0,2463,10000000,25
LOTZ,2,5,0,0.0,814,10000000,26
LOTZ,2,5,0,0.0,1152,10000000,27
LOTZ,2,5,0,0.0,867,10000000,28
LOTZ,2,5,0,0.0,1115,10000000,29
COCZ,2,10,0,0.0,39917,10000000,0
COCZ,2,10,0,0.0,29207,10000000,1
COCZ,2,10,0,0.0,26040,10000000,10
COCZ,2,10,0,0.0,9925,10000000,11
COCZ,2,10,0,0.0,17576,10000000,12
COCZ,2,10,0,0.0,17161,10000000,13
COCZ,2,10,0,0.0,23025,10000000,14
COCZ,2,10,0,0.0,39265,10000000,15
COCZ,2,10,0,0.0,23180,10000000,16
COCZ,2,10,0,0.0,18435,10000000,17
COCZ,2,10,0,0.0,19023,10000000,18
COCZ,2,10,0,0.0,16008,10000000,19
COCZ,2,10,0,0.0,10036,10000000,2
COCZ,2,10,0,0.0,56282,10000000,20
COCZ,2,10,0,0.0,24557,10000000,21
COCZ,2,10,0,0.0,30879,10000000,22
COCZ,2,10,0,0.0,27201,10000000,23
COCZ,2,10,0,0.0,25810,10000000,24
COCZ,2,10,0,0.0,15591,10000000,25
COCZ,2,10,0,0.0,17687,10000000,26
COCZ,2,10,0,0.0,23215,10000000,27
COCZ,2,10,0,0.0,11673,10000000,28
COCZ,2,10,0,0.0,19067,10000000,29
COCZ,2,10,0,0.0,18956,10000000,3
COCZ,2,10,0,0.0,14062,10000000,4
COCZ,2,10,0,0.0,17361,10000000,5
COCZ,2,10,0,0.0,15562,10000000,6
COCZ,2,10,0,0.0,20149,10000000,7
COCZ,2,10,0,0.0,23272,10000000,8
COCZ,2,10,0,0.0,16044,10000000,9
COCZ,2,12,0,0.0,29885,10000000,0
COCZ,2,12,0,0.0,35027,10000000,1
COCZ,2,12,0,0.0,72834,10000000,10
COCZ,2,12,0,0.0,64909,10000000,11
COCZ,2,12,0,0.0,28742,10000000,12
COCZ,2,12,0,0.0,30580,10000000,13
COCZ,2,12,0,0.0,43424,10000000,14
COCZ,2,12,0,0.0,22928,10000000,15
COCZ,2,12,0,0.0,26883,10000000,16
COCZ,2,12,0,0.0,23234,10000000,17
COCZ,2,12,0,0.0,40535,10000000,18
COCZ,2,12,0,0.0,64323,10000000,19
COCZ,2,12,0,0.0,36281,10000000,2
COCZ,2,12,0,0.0,45400,10000000,20
COCZ,2,12,0,0.0,22623,10000000,21
COCZ,2,12,0,0.0,40187,10000000,22
COCZ,2,12,0,0.0,38167,10000000,23
COCZ,2,12,0,0.0,40858,10000000,24
COCZ,2,12,0,0.0,44109,10000000,25
COCZ,2,12,0,0.0,33014,10000000,26
COCZ,2,12,0,0.0,32477,10000000,27
COCZ,2,12,0,0.0,31224,10000000,28
COCZ,2,12,0,0.0,39811,10000000,29
COCZ,2,12,0,0.0,50380,10000000,3
COCZ,2,12,0,0.0,56140,10000000,4
COCZ,2,12,0,0.0,32866,10000000,5
COCZ,2,12,0,0.0,24981,10000000,6
COCZ,2,12,0,0.0,27926,10000000,7
COCZ,2,12,0,0.0,35114,10000000,8
COCZ,2,12,0,0.0,40065,10000000,9
COCZ,2,15,0,0.0,86440,10000000,0
COCZ,2,15,0,0.0,66122,10000000,1
COCZ,2,15,0,0.0,37989,10000000,10
COCZ,2,15,0,0.0,103754,10000000,11
COCZ,2,15,0,0.0,125153,10000000,12
COCZ,2,15,0,0.0,94605,10000000,13
COCZ,2,15,0,0.0,77590,10000000,14
COCZ,2,15,0,0.0,97856,10000000,15
COCZ,2,15,0,0.0,78410,10000000,16
COCZ,2,15,0,0.0,57072,10000000,17
COCZ,2,15,0,0.0,80275,10000000,18
COCZ,2,15,0,0.0,58400,10000000,19
COCZ,2,15,0,0.0,81271,10000000,2
COCZ,2,15,0,0.0,50068,10000000,20
COCZ,2,15,0,0.0,57300,10000000,21
COCZ,2,15,0,0.0,109751,10000000,22
COCZ,2,15,0,0.0,131236,10000000,23
COCZ,2,15,0,0.0,50639,10000000,24
COCZ,2,15,0,0.0,61547,10000000,25
COCZ,2,15,0,0.0,85154,10000000,26
COCZ,2,15,0,0.0,67820,10000000,27
COCZ,2,15,0,0.0,91922,10000000,28
COCZ,2,15,0,0.0,84577,10000000,29
COCZ,2,15,0,0.0,69366,10000000,3
COCZ,2,15,0,0.0,55882,10000000,4
COCZ,2,15,0,0.0,68245,10000000,5
COCZ,2,15,0,0.0,39293,10000000,6
COCZ,2,15,0,0.0,79202,10000000,7
COCZ,2,15,0,0.0,69169,10000000,8
COCZ,2,15,0,0.0,75692,10000000,9
COCZ,2,3,0,0.0,594,10000000,0
COCZ,2,3,0,0.0,537,10000000,1
COCZ,2,3,0,0.0,786,10000000,10
COCZ,2,3,0,0.0,677,10000000,11
COCZ,2,3,0,0.0,787,10000000,12
COCZ,2,3,0,0.0,299,10000000,13
